[(132, 'Pan-Island Expressway'),
 (98, 'Ayer Rajah Expressway'),
 (90, 'East Coast Parkway'),
 (81, 'Central Expressway'),
 (77, 'Bedok Reservoir Road'),
 (69, 'Bukit Timah Expressway'),
 (64, u'Lebuhraya Utara\u2013Selatan'),
 (64, '1'),
 (59, 'North South Line (NS)'),
 (57, 'Boon Lay Way'),
 (54, 'Jalan Buroh'),
 (54, '2'),
 (52, 'Yio Chu Kang Road'),
 (51, '3'),
 (50, 'Clementi Road'),
 (50, '10'),
 (48, 'Jalan Ahmad Ibrahim'),
 (48, '12'),
 (47, 'Tampines Expressway'),
 (47, '5'),
 (46, 'Upper Serangoon Road'),
 (46, 'Seletar Expressway'),
 (45, 'Pasir Gudang Highway'),
 (45, '11'),
 (43, 'Thomson Road'),
 (43, 'Punggol Road'),
 (43, '9'),
 (43, '6'),
 (42, '8'),
 (42, '7'),
 (42, '4'),
 (41, 'Simei Street 1'),
 (41, 'Sembawang Road'),
 (41, 'Pasir Ris Drive 1'),
 (40, 'Woodlands Road'),
 (40, 'Braddell Road'),
 (38, 'Skudai Highway'),
 (38, 'Alexandra Road'),
 (37, 'Woodlands Avenue 1'),
 (37, 'Lebuhraya Hubungan Kedua'),
 (36, 'West Coast Road'),
 (36, 'Pioneer Road'),
 (36, 'KTM'),
 (36, 'Ang Mo Kio Avenue 5'),
 (35, 'Lower Delta Road'),
 (35, 'Kallang Park Connector'),
 (35, 'Jalan Bakti'),
 (35, 'Iskandar Coastal Highway'),
 (35, 'Corporation Road'),
 (35, '15'),
 (34, 'Queensway'),
 (34, 'Johor Bahru Inner Ring Road'),
 (34, 'Commonwealth Avenue West'),
 (33, 'Upper Changi Road East'),
 (33, 'Holland Road'),
 (33, '16'),
 (32, 'Jurong Town Hall Road'),
 (32, 'Henderson Road'),
 (32, '21'),
 (31, 'Tampines Road'),
 (31, 'Punggol Place'),
 (31, 'Pioneer Road North'),
 (31, 'Kallang-Paya Lebar Expressway'),
 (31, 'Jalan Boon Lay'),
 (31, 'Ang Mo Kio Avenue 3'),
 (31, '14'),
 (30, 'Sengkang East Way'),
 (30, 'Seletar West Link'),
 (30, 'North Buona Vista Road'),
 (30, 'Jalan Pi 10/1'),
 (30, '30'),
 (30, '20'),
 (29, 'West Coast Highway'),
 (29, 'Upper Thomson Road'),
 (29, 'Jalan Nusaria'),
 (29, 'Balestier Road'),
 (29, '23'),
 (29, '18'),
 (28, 'Upper Paya Lebar Road'),
 (28, 'Kranji Expressway'),
 (28, 'CP'),
 (28, '19'),
 (27, 'TNB'),
 (27, 'Mandai Road'),
 (27, 'Lorong 1'),
 (27, 'Clementi Avenue 6'),
 (27, '17'),
 (26, 'Ulu Pandan Park Connector'),
 (26, 'Tebrau Highway'),
 (26, 'Jurong West Street 64'),
 (26, 'Jurong Pier Road'),
 (26, 'CIQ'),
 (25, 'Telok Blangah Road'),
 (25, 'Skudai Pontian Highway'),
 (25, 'Simei Avenue'),
 (25, 'Pasir Ris Drive 3'),
 (25, u'Lebuhraya Hubungan Kedua (Laluan Pontian\u2013Taman Johor Bahru)'),
 (25, 'Changi Coast Road'),
 (24, 'Woodlands Avenue 2'),
 (24, 'Whitley Road'),
 (24, 'Punggol Field'),
 (24, 'Machelia Hausing'),
 (24, 'Kent Ridge Crescent'),
 (24, 'Faculty of Chemical Engineering'),
 (24, 'Commonwealth Avenue'),
 (24, 'Bukit Timah Road'),
 (24, 'Ang Mo Kio Avenue 6'),
 (24, '31'),
 (24, '25'),
 (24, '22'),
 (23, 'Tebrau Highway Interchange'),
 (23, 'Marina Coastal Expressway'),
 (23, 'Jalan Bukit Merah'),
 (23, 'Bartley Road East'),
 (23, '32'),
 (23, '29'),
 (22, 'pedestrian'),
